CREATE TABLE Exit(exitID int Primary Key not Null, roomID int not null, direction text not null, destination int not null, hidden int not null)
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(1, 1, 'EAST',2 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(2, 2, 'EAST',3 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(3, 2, 'WEST',1 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(4, 3, 'EAST',4 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(5, 3, 'NORTH',5 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(6, 3, 'WEST',2 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(7, 5, 'WEST',3 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(8, 5, 'NORTH', 6, 0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(9, 5, 'EAST', 8, 0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(10, 6, 'SOUTH',5 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(11, 6, 'WEST',7 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(12, 7, 'EAST',6 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(13, 8, ' ',5 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(14, 8, ' ',9 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(15, 10, ' ',12 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(16, 10, ' ',11 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(17, 10, ' ',13 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(18, 10, ' ',9 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(19, 11, ' ',10 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(20, 12, ' ',10 ,0 )
